STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
AANDN Islands,CAR,2013,0,0,0,0,0,0,0,0,0,0,1,1
AANDN Islands,NORTH,2013,0,4,5,0,0,0,0,0,0,0,6,15
AANDN Islands,SOUTH,2013,0,17,7,1,0,2,0,0,0,0,11,38
AANDN Islands,TOTAL,2013,0,21,12,1,0,2,0,0,0,0,18,54
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2003,1,2,1,0,0,0,0,0,0,0,2,6
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2004,0,8,3,0,0,0,0,0,0,0,2,13
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2005,1,2,2,0,0,2,0,0,0,0,1,8
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2006,0,5,4,0,0,0,0,0,0,0,0,9
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2008,2,8,12,0,0,1,0,0,0,0,24,47
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2009,1,12,10,0,0,0,0,0,0,0,18,41
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2010,1,15,9,3,0,0,0,0,0,0,23,51
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN,2011,1,9,11,0,0,2,0,0,0,0,8,31
ANDAMAN AND NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,2007,0,3,7,0,0,0,0,0,0,0,0,10
ANDAMAN AND NICOBAR ISLANDS,CAR,2012,0,0,1,0,0,0,0,0,0,0,1,2
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2003,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2004,1,0,0,0,0,0,0,0,0,0,0,1
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2005,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2006,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2008,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2009,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2010,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2011,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,NORTH,2012,1,4,0,0,0,0,0,0,0,0,2,7
ANDAMAN AND NICOBAR ISLANDS,SOUTH,2012,0,6,7,1,0,0,0,0,0,0,5,19
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2002,0,0,0,0,0,0,0,0,0,0,0,0
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2003,1,2,1,0,0,0,0,0,0,0,2,6
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2004,1,8,3,0,0,0,0,0,0,0,2,14
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2005,1,2,2,0,0,2,0,0,0,0,1,8
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2006,0,5,4,0,0,0,0,0,0,0,0,9
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2007,0,3,7,0,0,0,0,0,0,0,0,10
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2008,2,8,12,0,0,1,0,0,0,0,24,47
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2009,1,12,10,0,0,0,0,0,0,0,18,41
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2010,1,15,9,3,0,0,0,0,0,0,23,51
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2011,1,9,11,0,0,2,0,0,0,0,8,31
ANDAMAN AND NICOBAR ISLANDS,TOTAL,2012,1,10,8,1,0,0,0,0,0,0,8,28
ANDHRA PRADESH,ADILABAD,2001,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,2001,1,11,2,0,0,0,4,0,0,0,0,18
